datetime,open,high,low,close,volume,end_time,adj_close,completed,open_60m_float,high_60m_float,low_60m_float,close_60m_float,Datetime,bband_20_low,bband_20_low_prev,bband_20_high,bband_20_high_prev,close_prev,willr_ema,willr_ema_prev,willr_60m_float,willr_ema_60m_float,willr_ema_prev_60m_float
1614485520,201.68,202.0,201.11,201.14,285.655,1614485699999,201.14,True,202.34,204.07,198.81,201.14,2021-02-28 04:12:00,198.3888603801438,198.38111170300712,203.8681396198562,203.9978882969929,201.67,-54.09131613481609,-52.07678850331226,-90.39175257731966,-53.86806026943923,-52.12883682620683
1614485700,201.17,202.87,201.16,202.75,455.841,1614485879999,202.75,True,204.01,204.07,198.81,202.75,2021-02-28 04:15:00,198.61131400843163,198.3888603801438,203.52268599156838,203.8681396198562,201.14,-54.09131613481609,-52.07678850331226,-83.50774382586856,-53.2288530428424,-51.78700110079354
1614485880,202.79,203.04,202.35,202.62,370.132,1614486059999,202.62,True,203.01,203.11,198.81,202.62,2021-02-28 04:18:00,198.67189859964134,198.61131400843163,203.42010140035865,203.52268599156838,202.75,-54.09131613481609,-52.07678850331226,-83.06666666666666,-53.42919936288233,-52.01789139603546
1614486060,202.63,203.03,202.49,202.88,190.948,1614486239999,202.88,True,202.5,203.04,198.81,202.88,2021-02-28 04:21:00,198.63036328095578,198.67189859964134,203.4926367190442,203.42010140035865,202.62,-54.09131613481609,-52.07678850331226,-81.74069089277705,-53.701785534858786,-52.3665995654341
1614486240,202.87,203.2,202.64,202.83,259.804,1614486419999,202.83,True,201.68,203.2,198.81,202.83,2021-02-28 04:24:00,198.54603828976317,198.63036328095578,203.69596171023684,203.4926367190442,202.88,-54.09131613481609,-52.07678850331226,-81.72727272727269,-53.33644640070097,-51.98450228991184
1614486420,202.8,202.8,201.67,201.9,529.901,1614486599999,201.9,True,201.94,203.2,198.81,201.9,2021-02-28 04:27:00,198.54803841678793,198.54603828976317,203.68796158321206,203.69596171023684,202.83,-54.09131613481609,-52.07678850331226,-85.95454545454544,-53.68697391448085,-52.15042288876349
1614486600,201.92,202.87,201.92,202.72,187.449,1614486779999,202.72,True,202.05,203.2,198.81,202.72,2021-02-28 04:30:00,198.49633549950556,198.54803841678793,203.8076645004944,203.68796158321206,201.9,-54.09131613481609,-52.07678850331226,-82.22727272727275,-53.66243222813647,-52.30220172817759
1614486780,202.8,203.87,202.77,203.4,235.403,1614486959999,203.4,True,201.25,203.87,198.81,203.4,2021-02-28 04:33:00,198.37732555350846,198.49633549950556,204.14767444649152,203.8076645004944,202.72,-54.09131613481609,-52.07678850331226,-79.13636363636361,-53.82197629966966,-52.61652928363661
1614486960,203.4,203.83,203.14,203.32,193.734,1614487139999,203.32,True,200.19,203.87,198.81,203.32,2021-02-28 04:36:00,198.43870867372866,198.37732555350846,204.41229132627134,204.14767444649152,203.4,-54.09131613481609,-52.07678850331226,-79.50000000000004,-55.09394032495021,-53.93174700709069
1614487140,203.26,203.86,203.17,203.43,227.829,1614487319999,203.43,True,198.95,203.87,198.81,203.43,2021-02-28 04:39:00,198.8039112688773,198.43870867372866,204.49508873112273,204.41229132627134,203.32,-54.09131613481609,-52.07678850331226,-78.99999999999999,-55.78209099457077,-54.67647628002652
1614487320,203.35,203.63,203.11,203.29,151.586,1614487499999,203.29,True,200.35,203.87,198.95,203.29,2021-02-28 04:42:00,198.97991592128147,198.8039112688773,204.6410840787185,204.49508873112273,203.43,-54.09131613481609,-52.07678850331226,-79.63636363636368,-56.36471625237931,-55.25654256742767
1614487500,203.21,203.22,202.38,202.78,743.823,1614487679999,202.78,True,201.02,203.87,198.95,202.78,2021-02-28 04:45:00,199.0769918874217,198.97991592128147,204.73200811257826,204.6410840787185,203.29,-54.09131613481609,-52.07678850331226,-81.95454545454545,-54.95901688660567,-53.673515526227575
1614487680,202.75,203.19,201.94,202.23,784.206,1614487859999,202.23,True,201.59,203.87,198.95,202.23,2021-02-28 04:48:00,199.1156318407126,199.0769918874217,204.7643681592874,204.73200811257826,202.78,-54.09131613481609,-52.07678850331226,-84.45454545454551,-54.32870015102135,-52.89413608894877
1614487860,202.24,202.24,200.78,200.87,690.815,1614488039999,200.87,True,200.04,203.87,198.95,200.87,2021-02-28 04:51:00,199.24874863130194,199.1156318407126,204.7022513686981,204.7643681592874,202.23,-54.09131613481609,-52.07678850331226,-90.63636363636363,-55.13950102191197,-53.4491742307476
1614488040,200.93,201.83,200.35,200.47,569.007,1614488219999,200.47,True,200.17,203.87,198.95,200.47,2021-02-28 04:54:00,199.28153076503506,199.24874863130194,204.68546923496493,204.7022513686981,200.87,-54.09131613481609,-52.07678850331226,-92.45454545454548,-55.714989474597154,-53.96548680888532
1614488220,200.44,200.85,199.46,199.77,330.383,1614488399999,199.77,True,199.52,203.87,198.95,199.77,2021-02-28 04:57:00,199.3032524356541,199.28153076503506,204.67174756434594,204.68546923496493,200.47,-54.09131613481609,-52.07678850331226,-95.6363636363636,-55.979727225780074,-54.09131596813324
1614488400,199.62,200.18,197.88,200.15,1474.764,1614488579999,200.15,True,200.76,203.87,197.88,200.15,2021-02-28 05:00:00,199.1797904331271,199.3032524356541,204.73220956687288,204.67174756434594,199.77,-55.97972738488644,-54.09131613481609,-90.10030527692975,-55.65987294201444,-54.019852354637514
