,time_candle,symbol,position,action,price,balance,datetime,usdbal,tradesize,tokenbal,fees,pnl,hold,roi per trade
31,1613843100,,Short,Open,266.8,,1613843100,9492.429990365272,-35.593060276454175,-35.593060276454175,3.7984913927031903,0.0,,
32,1613843460,,Short,Close,265.06,9550.44092746039,1613843460,9550.58819662355,35.593060276454175,0.0,3.7737186227507773,61.93192488103059,360.0,0.0065
33,1613905200,,Long,Open,254.71,,1613905200,9546.7679613449,37.495929475181775,37.495929475181775,3.8202352786494203,0.0,,
34,1613919600,,Long,Close,255.98,9590.381575581723,1613919600,9590.548508567557,-37.495929475181775,0.0,3.839283210822812,47.619830433480175,14400.0,0.005
35,1613936880,,Long,Open,256.46,,1613936880,9586.71228916413,37.3958843818434,37.3958843818434,3.836219403427023,0.0,,
36,1613955060,,Long,Close,242.96,9078.277487004809,1613955060,9078.23356838148,-37.3958843818434,0.0,3.63428162776507,-504.84443915488487,18180.0,-0.0526
37,1614014100,,Long,Open,218.35,,1614014100,9074.602274954128,41.576521952743214,41.576521952743214,3.6312934273525923,0.0,,
38,1614022560,,Long,Close,220.84,9174.458084680366,1614022560,9174.455110973242,-41.576521952743214,0.0,3.6727036432175244,103.52553966233098,8460.0,0.0114
39,1614032820,,Long,Open,222.84,,1614032820,9170.785328928852,41.170593748758044,41.170593748758044,3.669782044389297,0.0,,
40,1614051000,,Long,Close,213.35,8776.722024145856,1614051000,8776.56289578262,-41.170593748758044,0.0,3.513498470519012,-390.7089346757142,18180.0,-0.0426
41,1614137580,,Long,Open,219.86,,1614137580,8773.052270624306,39.918870625773756,39.918870625773756,3.510625158313048,0.0,,
42,1614155760,,Long,Close,220.31,8787.650092951251,1614155760,8787.497951850879,-39.918870625773756,0.0,3.5178105550256866,17.963491781597735,18180.0,0.002
43,1614161880,,Long,Open,219.27,,1614161880,8783.982952670138,40.076152468878,40.076152468878,3.5149991807403516,0.0,,
44,1614180060,,Long,Close,202.24,8098.65728697324,1614180060,8098.244075695024,-40.076152468878,0.0,3.242000430122355,-682.4968765449923,18180.0,-0.0777
45,1614189600,,Short,Open,212.69,,1614189600,8095.004778064746,-38.07534005216523,-38.07534005216523,3.2392976302780094,0.0,,
46,1614197880,,Short,Close,203.66,8435.741154886326,1614197880,8435.723329233788,38.07534005216523,0.0,3.101769502009588,343.82032067105206,8280.0,0.0425
47,1614263220,,Long,Open,212.84,,1614263220,8432.349039902094,39.6341069781704,39.6341069781704,3.3742893316935154,0.0,,
48,1614281400,,Long,Close,205.97,8156.92350116237,1614281400,8156.797350156345,-39.6341069781704,0.0,3.2653748057175034,-272.2863149400308,18180.0,-0.0323
49,1614345120,,Long,Open,205.22,,1614345120,8153.534631216282,39.74660047829814,39.74660047829814,3.262718940062538,0.0,,
50,1614349080,,Long,Close,205.83,8174.624366985944,1614349080,8174.507640397465,-39.74660047829814,0.0,3.272417110579243,24.24542629176241,3960.0,0.003
51,1614489480,,Short,Open,206.39,,1614489480,8171.237837341307,-39.60709162458193,-39.60709162458193,3.269803056158986,0.0,,
52,1614492540,,Short,Close,202.71,8313.724241000624,1614492540,8313.78043310248,39.60709162458193,0.0,3.211501417287602,145.75409717846065,3060.0,0.0178
53,1614539160,,Short,Open,210.63,,1614539160,8310.454920929238,-39.4710175810781,-39.4710175810781,3.325512173240992,0.0,,
54,1614555900,,Short,Close,218.39,8001.025269820914,1614555900,8000.7117942882605,39.4710175810781,0.0,3.4480302118126587,-306.2950964291657,16740.0,-0.0368
55,1614556440,,Long,Open,218.07,,1614556440,7997.511509570545,36.68873203232109,36.68873203232109,3.2002847177153044,0.0,,
56,1614574620,,Long,Close,218.22,8000.123572214498,1614574620,7999.812333333756,-36.68873203232109,0.0,3.2024860416372434,5.503309804848373,18180.0,0.0007
57,1614650580,,Short,Open,225.0,,1614650580,7996.612408400422,-35.55472148148336,-35.55472148148336,3.1999249333335027,0.0,,
58,1614665700,,Short,Close,225.86,7963.169685858563,1614665700,7962.823192168823,35.55472148148336,0.0,3.212155757523133,-30.577060474076177,15120.0,-0.0038
59,1614694320,,Short,Open,225.07,,1614694320,7959.638062891955,-35.37931839947049,-35.37931839947049,3.1851292768675292,0.0,,
