datetime,open,high,low,close,volume,end_time,adj_close,completed,bband_20_low,bband_20_low_prev,bband_20_high,bband_20_high_prev,close_prev,willr_ema,willr_ema_prev
1579137660,161.63,161.98,160.73,161.63,5315.49057,1579137839999,161.63,True,161.66120231582605,161.955774766655,164.96979768417393,164.965225233345,161.69,-41.897226582627454,-41.074872292911294
1579137840,161.54,161.91,161.11,161.72,1782.29758,1579138019999,161.72,True,161.45533605062892,161.66120231582605,164.9026639493711,164.96979768417393,161.63,-41.897226582627454,-41.074872292911294
1579138020,161.63,162.3,161.6,162.03,1339.70459,1579138199999,162.03,True,161.29857828746705,161.45533605062892,164.91542171253295,164.9026639493711,161.72,-41.897226582627454,-41.074872292911294
1579138200,162.02,162.11,161.1,161.27,1532.77182,1579138379999,161.27,True,160.99585097927556,161.29857828746705,164.96014902072446,164.91542171253295,162.03,-41.897226582627454,-41.074872292911294
1579138380,161.23,161.3,157.8,159.79,14532.64396,1579138559999,159.79,True,160.28179906360788,160.99585097927556,165.37620093639214,164.96014902072446,161.27,-41.897226582627454,-41.074872292911294
1579138560,159.8,160.32,159.61,160.13,8256.32993,1579138739999,160.13,True,159.80343550318014,160.28179906360788,165.55956449681986,165.37620093639214,159.79,-41.897226582627454,-41.074872292911294
1579138740,160.15,160.23,159.12,159.34,3780.83264,1579138919999,159.34,True,159.17638265992102,159.80343550318014,165.81061734007895,165.55956449681986,160.13,-41.897226582627454,-41.074872292911294
1579138920,159.37,160.28,159.37,160.1,3159.07557,1579139099999,160.1,True,158.83594210005714,159.17638265992102,165.8670578999429,165.81061734007895,159.34,-41.897226582627454,-41.074872292911294
1579139100,160.07,160.41,159.93,160.41,722.48609,1579139279999,160.41,True,158.60708490209686,158.83594210005714,165.78891509790316,165.8670578999429,160.1,-41.897226582627454,-41.074872292911294
1579139280,160.36,160.66,160.22,160.48,1419.93534,1579139459999,160.48,True,158.423504584265,158.60708490209686,165.67649541573502,165.78891509790316,160.41,-41.897226582627454,-41.074872292911294
