datetime,open,high,low,close,volume,end_time,adj_close,completed,willr,willr_ema,willr_ema_prev
1579640400,168.33,170.32,168.33,169.14,24008.22847,1579643999999,169.14,True,-21.376811594203094,-42.454591996069944,-43.458295824730264
1579644000,169.14,169.53,168.23,169.36,5352.14695,1579647599999,169.36,True,-17.391304347825773,-41.315351648422485,-42.454591996069944
1579647600,169.36,169.85,168.83,169.49,8267.93898,1579651199999,169.49,True,-15.036231884057733,-40.12084620458772,-41.315351648422485
1579651200,169.48,170.05,169.3,169.71,9174.59597,1579654799999,169.71,True,-11.050724637680927,-38.7994770424556,-40.12084620458772
1579654800,169.71,169.75,168.75,169.09,8088.81975,1579658399999,169.09,True,-22.282608695652062,-38.04871029941908,-38.7994770424556
1579658400,169.09,169.44,167.79,168.57,11284.64838,1579661999999,168.57,True,-31.702898550724743,-37.76026431084206,-38.04871029941908
1579662000,168.56,169.46,168.23,168.69,7375.89394,1579665599999,168.69,True,-29.528985507246393,-37.38611527431498,-37.76026431084206
1579665600,168.69,169.58,168.62,169.45,6011.34825,1579669199999,169.45,True,-15.760869565217526,-36.4031495602651,-37.38611527431498
1579669200,169.44,169.47,168.84,168.96,6703.36893,1579672799999,168.96,True,-24.637681159420104,-35.868355542044874,-36.4031495602651
1579672800,168.96,170.0,168.89,169.85,11666.48498,1579676399999,169.85,True,-8.514492753623196,-34.62499814257116,-35.868355542044874
1579676400,169.85,171.47,168.96,169.2,47741.82397,1579679999999,169.2,True,-34.0329835082461,-34.59808838646548,-34.62499814257116
1579680000,169.25,169.55,167.51,168.44,36850.25678,1579683599999,168.44,True,-45.42728635682169,-35.09032465784531,-34.59808838646548
1579683600,168.46,169.12,167.91,168.99,13076.1728,1579687199999,168.99,True,-39.055118110236094,-35.270542542044886,-35.09032465784531
1579687200,168.98,169.02,168.05,168.35,6900.86728,1579690799999,168.35,True,-78.78787878787874,-37.248603280491885,-35.270542542044886
1579690800,168.36,168.45,167.31,168.0,12013.79072,1579694399999,168.0,True,-83.41346153846158,-39.34700592858142,-37.248603280491885
1579694400,168.0,168.31,167.45,168.01,7136.83658,1579697999999,168.01,True,-83.17307692307718,-41.33910006469486,-39.34700592858142
1579698000,168.01,168.02,166.03,166.43,16562.25189,1579701599999,166.43,True,-92.6470588235293,-43.671280008278245,-41.33910006469486
1579701600,166.42,167.34,166.07,166.95,10664.2134,1579705199999,166.95,True,-83.08823529411787,-45.46295979399823,-43.671280008278245
1579705200,166.92,167.91,166.72,167.42,7431.21739,1579708799999,167.42,True,-74.44852941176495,-46.7804856857149,-45.46295979399823
1579708800,167.43,169.04,166.62,168.42,18784.9109,1579712399999,168.42,True,-56.066176470588466,-47.202562539572796,-46.7804856857149
1579712400,168.4,168.88,167.59,168.36,6847.7147,1579715999999,168.36,True,-57.16911764705858,-47.65558777173124,-47.202562539572796
1579716000,168.38,168.4,167.57,168.0,4515.96194,1579719599999,168.0,True,-63.78676470588236,-48.38882308691993,-47.65558777173124
1579719600,167.99,168.29,167.32,168.0,6615.11272,1579723199999,168.0,True,-63.78676470588236,-49.08872952414549,-48.38882308691993
1579723200,167.97,168.21,167.51,168.16,4455.61416,1579726799999,168.16,True,-60.84558823529419,-49.62313219283407,-49.08872952414549
1579726800,168.16,168.23,167.76,167.91,2935.28651,1579730399999,167.91,True,-46.59090909090938,-49.485303870019315,-49.62313219283407
1579730400,167.91,168.08,167.5,167.57,1979.17975,1579733999999,167.57,True,-50.16181229773494,-49.5160542530973,-49.485303870019315
1579734000,167.56,168.22,167.5,168.07,7424.53117,1579737599999,168.07,True,-32.22591362126252,-48.73013876983209,-49.5160542530973
1579737600,168.07,168.2,166.78,167.16,10752.4162,1579741199999,167.16,True,-62.45847176079738,-49.354153905785054,-48.73013876983209
1579741200,167.21,167.45,164.72,164.92,24532.14593,1579744799999,164.92,True,-95.37037037037062,-51.44580010872076,-49.354153905785054
1579744800,164.89,165.96,164.18,165.89,17920.45351,1579748399999,165.89,True,-64.81481481481512,-52.053482595361416,-51.44580010872076
1579748400,165.91,166.14,165.4,165.44,15585.25543,1579751999999,165.44,True,-74.07407407407418,-53.054418571666545,-52.053482595361416
1579752000,165.44,165.57,164.24,164.73,14830.80311,1579755599999,164.73,True,-88.68312757201677,-54.67390534440974,-53.054418571666545
1579755600,164.72,164.73,162.71,163.97,29221.98591,1579759199999,163.97,True,-80.09478672985792,-55.8293999528392,-54.67390534440974
1579759200,163.98,164.23,163.25,163.88,10065.62118,1579762799999,163.88,True,-81.03727714748801,-56.97521255259598,-55.8293999528392
1579762800,163.89,165.31,163.35,164.88,17002.31759,1579766399999,164.88,True,-61.862917398945726,-57.19738095470279,-56.97521255259598
1579766400,164.86,165.69,163.71,163.71,17155.65094,1579769999999,163.71,True,-82.07885304659493,-58.32835695887971,-57.19738095470279
1579770000,163.71,163.9,163.0,163.48,19506.56137,1579773599999,163.48,True,-86.05072463768144,-59.58846458064343,-58.32835695887971
1579773600,163.47,163.9,162.5,163.57,14254.17272,1579777199999,163.57,True,-81.3263525305411,-60.57655039654787,-59.58846458064343
1579777200,163.57,163.57,162.59,162.7,11851.88862,1579780799999,162.7,True,-96.5034965034967,-62.20959340140919,-60.57655039654787
1579780800,162.7,163.31,161.73,162.78,19007.63109,1579784399999,162.78,True,-83.82126348228027,-63.19194204144878,-62.20959340140919
1579784400,162.77,162.78,161.08,161.61,17199.3251,1579787999999,161.61,True,-92.55617977528085,-64.52668012025934,-63.19194204144878
1579788000,161.62,162.43,161.22,162.2,13446.35058,1579791599999,162.2,True,-82.41758241758272,-65.33990295195586,-64.52668012025934
1579791600,162.2,163.9,161.98,163.15,14599.07101,1579795199999,163.15,True,-59.090909090909015,-65.05585777645373,-65.33990295195586
1579795200,163.17,163.45,161.95,162.38,10950.00177,1579798799999,162.38,True,-74.30830039525712,-65.47642335003572,-65.05585777645373
1579798800,162.37,163.47,161.2,161.74,11670.73364,1579802399999,161.74,True,-85.68329718004341,-66.39491761503606,-65.47642335003572
1579802400,161.74,161.81,159.21,159.8,36873.66596,1579805999999,159.8,True,-90.89506172839499,-67.50856052927965,-66.39491761503606
1579806000,159.79,160.91,159.45,160.63,8515.40484,1579809599999,160.63,True,-78.08641975308657,-67.98937231217997,-67.50856052927965
1579809600,160.62,161.23,159.85,161.14,8510.53547,1579813199999,161.14,True,-70.21604938271634,-68.09058490629525,-67.98937231217997
1579813200,161.07,163.28,160.94,162.51,14219.56328,1579816799999,162.51,True,-49.074074074074254,-67.2261980502852,-68.09058490629525
1579816800,162.47,163.46,162.44,163.0,5517.24041,1579820399999,163.0,True,-19.189765458422304,-65.04272384156417,-67.2261980502852
1579820400,163.01,163.22,161.74,162.81,10225.55419,1579823999999,162.81,True,-23.240938166311384,-63.14264267450722,-65.04272384156417
1579824000,162.85,163.41,162.08,163.07,10385.48234,1579827599999,163.07,True,-17.697228144989616,-61.07694201407461,-63.14264267450722
1579827600,163.07,163.42,161.33,161.36,16272.71618,1579831199999,161.36,True,-54.15778251599133,-60.76243476416174,-61.07694201407461
1579831200,161.37,161.66,157.5,158.63,34607.59354,1579834799999,158.63,True,-82.34375000000009,-61.74340363851803,-60.76243476416174
1579834800,158.64,159.88,158.28,158.99,11297.9605,1579838399999,158.99,True,-76.71874999999987,-62.42410120040358,-61.74340363851803
1579838400,158.99,159.79,158.25,158.31,13151.99393,1579841999999,158.31,True,-87.34374999999997,-63.556812509476146,-62.42410120040358
1579842000,158.31,159.59,158.29,159.41,9161.56945,1579845599999,159.41,True,-68.00670016750423,-63.75908013029561,-63.556812509476146
1579845600,159.44,159.98,158.7,159.54,10456.77467,1579849199999,159.54,True,-65.82914572864334,-63.8531740211296,-63.75908013029561
1579849200,159.53,159.84,158.45,159.25,10476.73612,1579852799999,159.25,True,-70.63758389261749,-64.16155628801542,-63.8531740211296
1579852800,159.24,159.29,158.47,158.89,8896.55579,1579856399999,158.89,True,-76.67785234899355,-64.7304788362417,-64.16155628801542
1579856400,158.89,159.14,155.73,156.14,40827.37679,1579859999999,156.14,True,-94.69598965071157,-66.0925475096267,-64.7304788362417
1579860000,156.14,157.62,155.82,156.35,20072.29845,1579863599999,156.35,True,-91.97930142302712,-67.269218142054,-66.0925475096267
1579863600,156.36,161.02,155.55,160.63,42122.89274,1579867199999,160.63,True,-35.77749683944391,-65.83777626466264,-67.269218142054
1579867200,160.7,162.0,160.0,161.36,30145.13161,1579870799999,161.36,True,-26.175349428208133,-64.03493868118743,-65.83777626466264
1579870800,161.36,161.96,160.0,161.73,18546.96954,1579874399999,161.73,True,-21.473951715374877,-62.100348364559586,-64.03493868118743
1579874400,161.75,163.32,161.08,162.04,28046.45968,1579877999999,162.04,True,-17.534942820838623,-60.07464811257227,-62.100348364559586
1579878000,162.07,162.95,161.21,162.62,20912.26593,1579881599999,162.62,True,-9.009009009008883,-57.75348269877394,-60.07464811257227
1579881600,162.67,163.19,160.92,160.92,16777.839,1579885199999,160.92,True,-30.888030888031032,-56.532325798285626,-57.75348269877394
1579885200,160.92,161.58,160.6,161.18,6921.86368,1579888799999,161.18,True,-27.54182754182743,-55.21457587753753,-56.532325798285626
1579888800,161.17,162.5,161.15,161.77,14219.3967,1579892399999,161.77,True,-19.948519948519778,-53.61157333530945,-55.21457587753753
1579892400,161.72,164.45,161.56,163.71,29294.20035,1579895999999,163.71,True,-8.314606741572838,-51.55262030832142,-53.61157333530945
1579896000,163.7,164.37,162.59,163.35,12491.40754,1579899599999,163.35,True,-12.35955056179772,-49.77111713802489,-51.55262030832142
1579899600,163.32,163.76,163.06,163.27,3981.63606,1579903199999,163.27,True,-13.258426966291927,-48.11144940294612,-49.77111713802489
1579903200,163.25,163.38,162.0,163.07,11657.87288,1579906799999,163.07,True,-15.505617977528079,-46.62936615633621,-48.11144940294612
1579906800,163.06,164.01,162.1,162.54,9288.20555,1579910399999,162.54,True,-21.460674157303387,-45.48533470183472,-46.62936615633621
1579910400,162.51,162.58,158.02,158.63,40896.67428,1579913999999,158.63,True,-65.39325842696638,-46.39024032570434,-45.48533470183472
1579914000,158.55,159.32,157.61,158.49,18874.47444,1579917599999,158.49,True,-87.13450292397663,-48.24225226198944,-46.39024032570434
1579917600,158.58,159.47,158.3,159.24,5915.70171,1579921199999,159.24,True,-76.16959064327483,-49.511676733866054,-48.24225226198944
1579921200,159.24,159.85,158.66,159.05,4150.93225,1579924799999,159.05,True,-78.94736842105259,-50.849662719647256,-49.511676733866054
1579924800,159.0,160.61,158.65,159.42,6051.25171,1579928399999,159.42,True,-73.53801169590672,-51.88095130947723,-50.849662719647256
1579928400,159.41,159.96,158.69,159.63,6419.2367,1579931999999,159.63,True,-70.4678362573101,-52.725809716196906,-51.88095130947723
